# GitHub repository-search snapshot
# Query family: webmcp created:YYYY-MM-DD fork:false
# Snapshot date: 2026-09-02 (Asia/Kolkata)
# Scope: repositories created from 2026-08-25 through 2026-09-02 inclusive.
# Important: a search match is not proof that the repository implements the current WebMCP API.
# Columns: repo, created_at, stars, language, description, homepage, github_url
repo	created_at	stars	language	description	homepage	github_url
AGENTROPOLIS-CITY-OF-AGENTS/AGENTROPOLIS-WEBMCP-CHALLENGE	2026-08-25T20:21:26Z	1	TypeScript	A governed WebMCP gateway for accountable autonomous agents — built on the AGENTROPOLIS Intelligence Grid for the WebMCP Challenge.		https://github.com/AGENTROPOLIS-CITY-OF-AGENTS/AGENTROPOLIS-WEBMCP-CHALLENGE
Aitherium/webmcp-design-studio	2026-08-25T21:58:12Z	0	TypeScript			https://github.com/Aitherium/webmcp-design-studio
DanielSensual/ghost-operator-webmcp	2026-08-25T22:36:22Z	0	TypeScript	A human-approved WebMCP workspace for turning missed calls into a voice-agent launch plan.	https://ghost-operator-xi.vercel.app/	https://github.com/DanielSensual/ghost-operator-webmcp
Flexasaurusrex/match-cut	2026-08-25T22:35:11Z	0	JavaScript	A music video archive you search by how something looks, and move through by why one thing leads to another. Eight WebMCP tools over 7,139 annotated videos.	https://matchcut.live	https://github.com/Flexasaurusrex/match-cut
HanHan666666/patchbridge-agent	2026-08-25T14:09:42Z	3	Java	Lightweight browser-side AI agent framework for legacy enterprise web apps—Java 8, Spring Boot 2, TypeScript, MCP/WebMCP, OpenAI-compatible LLMs, tool calling, streaming, audit, and persistence. 面向存量企业 Web 系统的轻量级 Agent 框架。		https://github.com/HanHan666666/patchbridge-agent
JordanCoin/swtpa-agent-study	2026-08-25T23:08:14Z	0	TypeScript	A social work licensure readiness diagnostic your AI agent can operate, built on WebMCP. The agent drives, you answer, the page updates live.	https://agent-study.socialworktestprepacademy.com	https://github.com/JordanCoin/swtpa-agent-study
KickNext/flutter_webmcp	2026-08-25T23:52:31Z	1	Dart	Typed Flutter Web bindings and lifecycle helpers for WebMCP tools.		https://github.com/KickNext/flutter_webmcp
Peanuts1605/aqua-agent-route	2026-08-25T22:28:45Z	0	JavaScript	Aqua Today WebMCP agent route: source-backed water-day evidence with a human decision boundary.		https://github.com/Peanuts1605/aqua-agent-route
TechDev009/commonground-webmcp	2026-08-25T23:57:07Z	0	TypeScript	An agent-native neighborhood planning studio for the WebMCP Challenge.		https://github.com/TechDev009/commonground-webmcp
Vonage-Community/demo-voice-webmcp-prompt_api-pizzeria	2026-08-25T04:11:38Z	0	JavaScript	Proof of Concept demo showcasing Vonage Voice API with WebMCP and the Prompt API		https://github.com/Vonage-Community/demo-voice-webmcp-prompt_api-pizzeria
YesterdaysLemon/conspiracy	2026-08-25T22:57:18Z	0	TypeScript	A tactile noir evidence board where people and WebMCP agents investigate the same live case.	https://yesterdayslemon.github.io/conspiracy/	https://github.com/YesterdaysLemon/conspiracy
aditya226-sharma/pixel-palette	2026-08-25T21:37:31Z	0	TypeScript	Agent-Native Design System Builder powered by WebMCP — Built for The WebMCP Challenge hackathon		https://github.com/aditya226-sharma/pixel-palette
amit-00/agent-daw	2026-08-25T21:10:24Z	0	TypeScript	Human + AI browser DAW for the WebMCP Challenge		https://github.com/amit-00/agent-daw
amit-00/opendaw-webmcp	2026-08-25T21:38:13Z	0		WebMCP integration layer for openDAW: human and agent collaborative music editing		https://github.com/amit-00/opendaw-webmcp
