# GitHub repository metadata for exact current WebMCP API code matches
# Source query: document.modelContext.registerTool
# Snapshot date: 2026-09-02 (Asia/Kolkata)
# Scope: distinct repositories represented in GitHub's capped first 1,000 code-search results.
# Important: stars measure repository reach, not the maturity of its WebMCP integration; forks and vendored WPT copies remain labelled.
# Columns: repo, stars, forks, is_fork, created_at, updated_at, primary_language, description, homepage, github_url
repo	stars	forks	is_fork	created_at	updated_at	primary_language	description	homepage	github_url
koala73/worldmonitor	85361	12862	false	2026-01-08T17:26:06Z	2026-09-02T09:32:52Z	TypeScript	Real-time global intelligence dashboard. AI-powered news aggregation, geopolitical monitoring, and infrastructure tracking in a unified situational awareness interface	https://worldmonitor.app	https://github.com/koala73/worldmonitor
heygen-com/hyperframes	43652	4194	false	2026-03-10T01:51:06Z	2026-09-02T09:36:12Z	TypeScript	Write HTML. Render video. Built for agents.		https://github.com/heygen-com/hyperframes
github/awesome-copilot	38538	4870	false	2025-06-11T16:57:39Z	2026-09-02T08:36:24Z	JavaScript	Community-contributed instructions, agents, skills, and configurations to help you make the most of GitHub Copilot.	https://awesome-copilot.github.com/	https://github.com/github/awesome-copilot
servo/servo	37875	3777	false	2012-02-08T19:07:25Z	2026-09-02T09:28:31Z	Rust	Servo aims to empower developers with a lightweight, high-performance alternative for embedding web technologies in applications.	https://servo.org	https://github.com/servo/servo
davila7/claude-code-templates	30496	3455	false	2025-07-04T01:26:26Z	2026-09-02T08:34:02Z	Python	CLI tool for configuring and monitoring Claude Code	https://aitmpl.com	https://github.com/davila7/claude-code-templates
mozilla-firefox/firefox	13030	1468	false	2024-07-30T01:51:51Z	2026-09-02T09:09:23Z	JavaScript	The official repository of Mozilla's Firefox web browser.	https://www.firefox.com/	https://github.com/mozilla-firefox/firefox
Automattic/wp-calypso	12640	2026	false	2015-11-10T20:00:16Z	2026-09-02T08:03:17Z	TypeScript	The JavaScript and API powered WordPress.com	https://developer.wordpress.com	https://github.com/Automattic/wp-calypso
google/perfetto	6426	864	false	2019-12-10T10:32:44Z	2026-09-02T08:20:49Z	C++	Production-grade client-side tracing, profiling, and analysis for complex software systems.	https://www.perfetto.dev	https://github.com/google/perfetto
BrowserWorks/waterfox	6242	428	false	2014-10-13T12:37:53Z	2026-09-02T08:09:29Z	JavaScript	The official Waterfox 💧 source code repository	https://www.waterfox.com	https://github.com/BrowserWorks/waterfox
web-platform-tests/wpt	6127	3925	false	2012-03-04T12:58:11Z	2026-09-02T06:37:09Z	HTML	Test suites for Web platform specs — including WHATWG, W3C, and others	https://web-platform-tests.org/	https://github.com/web-platform-tests/wpt
hardkoded/puppeteer-sharp	3917	483	false	2017-09-30T20:32:25Z	2026-09-01T06:41:52Z	C#	Headless Chrome .NET API	https://www.puppeteersharp.com	https://github.com/hardkoded/puppeteer-sharp
webmachinelearning/webmcp	3680	244	false	2025-08-05T13:10:14Z	2026-09-02T08:35:57Z	Bikeshed	🤖 WebMCP	https://webmachinelearning.github.io/webmcp/	https://github.com/webmachinelearning/webmcp
GoogleChrome/modern-web-guidance	1881	72	false	2026-03-23T17:49:14Z	2026-09-02T03:47:51Z		Keep your coding agent up to date with the latest web best practices	https://goo.gle/modern-web-guidance	https://github.com/GoogleChrome/modern-web-guidance
GoogleChrome/modern-web-guidance-src	1008	75	false	2026-01-27T20:22:24Z	2026-09-02T07:07:47Z	TypeScript		https://goo.gle/modern-web-guidance	https://github.com/GoogleChrome/modern-web-guidance-src
